month,day,observations,years_covered,rain_probability,rain_probability_pct,weighted_mean_rain_mm,weighted_rainy_day_intensity_mm,risk_score
1,1,26,26,0.157251909260004,15.725190926000401,0.693519228297924,4.39117794284517,0.6905211154128197
1,2,26,26,0.10439309863733967,10.439309863733968,0.2663042418111122,2.5509755461541554,0.2663042418111122
1,3,26,26,0.0927750947845917,9.27750947845917,0.4955303956003469,5.3412006395777425,0.49553039560034684
1,4,26,26,0.0,0.0,0.0017762478394852583,0.0,0.0
1,5,26,26,0.0,0.0,0.0017762478394852583,0.0,0.0
1,6,26,26,0.08729208668282233,8.729208668282233,0.10905068465339532,1.249261975482764,0.1090506846533953
1,7,26,26,0.07163779580088746,7.163779580088746,0.0949642936236036,1.3256171907850236,0.09496429362360359
1,8,26,26,0.039227947568629115,3.9227947568629116,0.16376519131372236,4.174707102053094,0.16376519131372236
1,9,26,26,0.0,0.0,0.0,0.0,0.0
1,10,26,26,0.04169194129942515,4.169194129942515,0.15093550843630815,3.620256186976577,0.15093550843630815
1,11,26,26,0.03690957586732313,3.690957586732313,0.11701123732696016,3.1487721717718884,0.11621984536293033
1,12,26,26,0.09286117476944339,9.286117476944339,0.4342626042019478,4.676471143942979,0.4342626042019478
1,13,26,26,0.040441183060442386,4.044118306044239,0.2545327069576284,6.2938986373670165,0.2545327069576284
1,14,26,26,0.0,0.0,0.0,0.0,0.0
1,15,26,26,0.11051438229022144,11.051438229022144,0.18787281418454246,1.6999851991315513,0.1878728141845425
1,16,26,26,0.07903892383347413,7.903892383347413,0.21955609049636698,2.7778223671029,0.21955609049636696
1,17,26,26,0.0,0.0,0.0,0.0,0.0
1,18,26,26,0.0,0.0,0.0,0.0,0.0
1,19,26,26,0.08342256584335492,8.342256584335491,0.22921838903868336,2.7275685127013256,0.22754076384308797
1,20,26,26,0.048550470869533575,4.855047086953357,0.10643588276650122,2.192272924654412,0.1064358827665012
1,21,26,26,0.12921750184099703,12.921750184099704,0.3653958724542429,2.8277583705639566,0.3653958724542428
1,22,26,26,0.05730493593454968,5.730493593454968,0.28896489029006345,5.019277005905255,0.28762934726115896
1,23,26,26,0.1477602031339812,14.776020313398119,0.7244812924002924,4.890048925951358,0.7225546226336793
1,24,26,26,0.13412303804244785,13.412303804244786,0.3627481887381021,2.7045926936377476,0.3627481887381021
1,25,26,26,0.03267578213549068,3.267578213549068,0.07588406766656389,2.3223336277586046,0.07588406766656387
1,26,26,26,0.13862581039589367,13.862581039589367,0.18751382059171645,1.3526616728602434,0.18751382059171645
1,27,26,26,0.04169194129942515,4.169194129942515,0.05072763994814075,1.2167253039099954,0.05072763994814075
1,28,26,26,0.055329106390958525,5.532910639095853,0.2696733111617629,4.873986383518223,0.26967331116176296
1,29,26,26,0.10335553519397511,10.33555351939751,0.4154872774790383,4.019980900870592,0.41548727747903824
1,30,26,26,0.0,0.0,0.0,0.0,0.0
1,31,26,26,0.03074464341128318,3.074464341128318,0.14947522235983204,4.861829762025314,0.14947522235983204
2,1,26,26,0.20926686917703424,20.926686917703424,0.5097562547178425,2.4323130515216786,0.5090025371503801
2,2,26,26,0.04169194129942515,4.169194129942515,0.12912646741874909,3.0971565102085927,0.12912646741874909
2,3,26,26,0.05319591011187313,5.319591011187312,0.22806873589384266,4.214922113129587,0.22421661785858785
2,4,26,26,0.11583822437426874,11.583822437426875,1.1457458924330104,9.89091380347087,1.1457458924330104
2,5,26,26,0.06611091507767629,6.611091507767629,0.24844528483681028,3.758007048380774,0.24844528483681028
2,6,26,26,0.08234467621980011,8.234467621980011,0.21287656911955988,2.5851892179566653,0.21287656911955988
2,7,26,26,0.04709395674344757,4.709395674344757,0.13521812577846545,2.8264812527280867,0.13311018585214202
2,8,26,26,0.14538906675953048,14.538906675953047,1.2150346031649537,8.342707945214347,1.212938522402034
2,9,26,26,0.19421328769666663,19.421328769666662,0.7536182488600466,3.8803639946463933,0.7536182488600466
2,10,26,26,0.09782252722814254,9.782252722814254,0.17101353107912567,1.748201931854474,0.17101353107912567
2,11,26,26,0.11686696451286971,11.68669645128697,0.5297220959874002,4.5326932054358755,0.5297220959874002
2,12,26,26,0.09710679888233126,9.710679888233125,0.29512852886530216,3.039215917547883,0.2951285288653021
2,13,26,26,0.03074464341128318,3.074464341128318,0.262637777971064,8.542554046168473,0.262637777971064
2,14,26,26,0.10952831478549913,10.952831478549912,0.3236018406642627,2.9545039682022534,0.32360184066426273
2,15,26,26,0.10165206463277836,10.165206463277835,0.17136713676981433,1.6804871038920404,0.1708249836993842
2,16,26,26,0.20559964165088446,20.559964165088445,0.7114996344086939,3.4606073663146053,0.7114996344086939
2,17,26,26,0.158520079248318,15.8520079248318,0.7120412020924496,4.458351669622274,0.7067382599853937
2,18,26,26,0.0,0.0,0.001765581034657018,0.0,0.0
2,19,26,26,0.2030346442675694,20.30346442675694,0.2474085397160332,1.2121317994334087,0.2461047487033709
2,20,26,26,0.13292596126279696,13.292596126279696,0.34339549056534807,2.583359091806371,0.343395490565348
2,21,26,26,0.06350867744450209,6.350867744450209,0.13608423829310595,2.1427660560562765,0.13608423829310595
2,22,26,26,0.1308323619032664,13.08323619032664,0.2264982377801322,1.7127542773462507,0.22408368746513216
2,23,26,26,0.1201746542391197,12.01746542391197,0.6210964835939966,5.148876661856736,0.6187644725585061
2,24,26,26,0.048550470869533575,4.855047086953357,1.2582470390291696,25.873091269984396,1.2561507640081608
2,25,26,26,0.28733280577041176,28.733280577041175,0.8780983317907692,3.05218674239803,0.876993380428479
2,26,26,26,0.025609427263123714,2.5609427263123714,0.1586937610588258,6.196693093848952,0.1586937610588258
2,27,26,26,0.05319591011187313,5.319591011187312,0.02615723104727293,0.4917150771979129,0.02615723104727293
2,28,25,25,0.07714504337092495,7.714504337092495,0.1515015070058529,1.9638527685753047,0.15150150700585294
2,29,6,6,0.0,0.0,0.0020553128064660334,0.0,0.0
3,1,25,25,0.04150407874621658,4.150407874621658,0.16446233165326568,3.962558298399954,0.16446233165326568
3,2,25,25,0.0,0.0,0.0,0.0,0.0
3,3,25,25,0.0,0.0,0.0,0.0,0.0
3,4,25,25,0.0900854553545299,9.00854553545299,0.595179236835895,6.6068294209489915,0.595179236835895
3,5,25,25,0.10039354850630156,10.039354850630156,0.34157010412099337,3.400477600515632,0.341386012931958
3,6,25,25,0.04982649897069982,4.982649897069982,0.2594874715986213,5.119548054897424,0.2550891558877948
3,7,25,25,0.02968792576104689,2.968792576104689,0.11175189551319305,3.7642203908978087,0.11175189551319305
3,8,25,25,0.0,0.0,0.0,0.0,0.0
3,9,25,25,0.0,0.0,0.0,0.0,0.0
3,10,25,25,0.16163416399106714,16.163416399106715,1.060668067665133,6.553674976961322,1.0592977759703195
3,11,25,25,0.18936312732561686,18.936312732561685,0.7824709641594604,4.119216046675138,0.7800276327282684
3,12,25,25,0.14244209901493582,14.244209901493582,0.9597954831466421,6.738144760461601,0.9597954831466424
3,13,25,25,0.08621135606312455,8.621135606312455,0.38209027104155757,4.399891306054998,0.3793205960253535
3,14,25,25,0.14407562509258734,14.407562509258733,0.7616393484250604,5.286385868085653,0.7616393484250604
3,15,25,25,0.05295621104336255,5.295621104336255,0.2530956779954229,4.77933887279395,0.25309567799542293
3,16,25,25,0.0,0.0,0.0,0.0,0.0
3,17,25,25,0.1398448272954383,13.98448272954383,1.3117043879229753,9.372861473973177,1.3107461940918461
3,18,25,25,0.06734937153170645,6.734937153170645,0.3580833569945939,5.316803243308914,0.35808335699459387
3,19,25,25,0.08356232007536966,8.356232007536967,2.703283247128882,32.325747420238365,2.7012144526055133
3,20,25,25,0.15166128433306203,15.166128433306202,2.5853046086117777,17.04656939957209,2.5853046086117772
3,21,25,25,0.13875041640595567,13.875041640595567,1.2987668315910368,9.32300486229499,1.2935708067981793
3,22,25,25,0.027933369348569013,2.7933369348569013,0.14547626357152119,5.207974081328421,0.14547626357152119
3,23,25,25,0.0,0.0,0.003960041895831733,0.0,0.0
3,24,25,25,0.027933369348569013,2.7933369348569013,0.06825151742711659,2.4433685952966866,0.06825151742711659
3,25,25,25,0.1266384426382685,12.663844263826851,1.7685284556211651,13.965178493807048,1.768528455621165
3,26,25,25,0.19015820792777802,19.015820792777802,1.294239699810322,6.806120618794817,1.294239699810322
3,27,25,25,0.25028633413363766,25.028633413363764,2.7158439744564427,10.850947910749081,2.7158439744564418
3,28,25,25,0.12253971595858727,12.253971595858728,1.895857021278724,15.471367845502723,1.895857021278724
3,29,25,25,0.1345754332285275,13.45754332285275,0.5967050245897386,4.433981821752354,0.5967050245897386
3,30,25,25,0.22103071011978886,22.103071011978887,2.9429558620296183,13.30164664756096,2.940072404272908
3,31,25,25,0.4591196000810992,45.91196000810992,6.3959792308175,13.91884905007705,6.390416409460562
4,1,25,25,0.15721187405496562,15.721187405496561,2.090480721344687,13.297219016763306,2.0904807213446865
4,2,25,25,0.1375142464392469,13.75142464392469,2.5689931833114503,18.658596509406944,2.5658228386050586
4,3,25,25,0.2519031338405673,25.19031338405673,3.0334711262612832,12.042212734761788,3.0334711262612823
4,4,25,25,0.130751255519824,13.0751255519824,2.936760116407001,22.46066475408904,2.936760116407001
4,5,25,25,0.1563464029789386,15.63464029789386,4.4849350056373725,28.685885445292502,4.484935005637371
4,6,25,25,0.18154961249701765,18.154961249701763,5.873837804032426,32.35389887780079,5.873837804032427
4,7,25,25,0.250557124556925,25.055712455692504,4.211025081072383,16.806646741811825,4.211025081072384
4,8,25,25,0.33620170276812134,33.62017027681213,6.449057396291005,19.182108071412497,6.449057396291005
4,9,25,25,0.1762531239956051,17.62531239956051,2.2254659580594467,12.626533406096895,2.2254659580594462
4,10,25,25,0.2096109198243211,20.96109198243211,4.419971567512004,21.08655203276846,4.419971567512005
4,11,25,25,0.2847844905697323,28.478449056973233,3.845291238333148,13.490659270475486,3.841930527792198
4,12,25,25,0.36552324204288583,36.55232420428858,9.167013244221526,25.07915281388861,9.167013244221527
4,13,25,25,0.2031354826442317,20.31354826442317,4.836246534961741,23.807985055136168,4.836246534961741
4,14,25,25,0.1580142345529271,15.80142345529271,2.195749940882183,13.895899613694066,2.195749940882183
4,15,25,25,0.2567189618256296,25.67189618256296,5.483081297176001,21.35830270652253,5.483081297175999
4,16,25,25,0.3330619791340819,33.30619791340819,6.919437408927867,20.768687843170554,6.917260277064332
4,17,25,25,0.3344296434591683,33.442964345916835,4.6714767746229136,13.968488936278375,4.671476774622914
4,18,25,25,0.36293522325362715,36.293522325362716,8.10385910447791,22.328665241771684,8.10385910447791
4,19,25,25,0.42913244827892205,42.91324482789221,7.963633482365508,18.55751881337439,7.963633482365508
4,20,25,25,0.11428204513850448,11.42820451385045,0.6907964184159491,6.044662725266565,0.6907964184159491
4,21,25,25,0.4814090994785011,48.140909947850105,13.632649561874997,28.31369576029591,13.630470778872308
4,22,25,25,0.3117763364839374,31.177633648393737,5.306393929590416,17.009934862883167,5.30329517538012
4,23,25,25,0.29185502271120883,29.185502271120882,4.285594058768854,14.677491842818691,4.283699715129432
4,24,25,25,0.1404061400016417,14.04061400016417,3.06401281055929,21.817030322317382,3.0632450138553566
4,25,25,25,0.14302841240145342,14.302841240145343,2.3154676178396025,16.188864708506504,2.3154676178396034
4,26,25,25,0.16438068926891478,16.43806892689148,9.974698593737575,60.6804767524712,9.974698593737575
4,27,25,25,0.25714620386764564,25.714620386764565,5.269469750163696,20.492115656025454,5.269469750163695
4,28,25,25,0.34100995556782965,34.10099555678296,4.4396287205945395,13.019058969119923,4.4396287205945395
4,29,25,25,0.2954077860502794,29.54077860502794,7.661010299190937,25.933677651566732,7.661010299190938
4,30,25,25,0.3674287467607515,36.74287467607515,6.374569235230541,17.349130386309415,6.374569235230541
5,1,25,25,0.5572255108889058,55.72255108889058,20.37105032281358,36.558000171810086,20.37105032281358
5,2,25,25,0.23495194767124641,23.49519476712464,7.836054551713467,33.35173268143309,7.836054551713467
5,3,25,25,0.28099339046916155,28.099339046916157,7.1237188635317805,25.351908995573314,7.123718863531781
5,4,25,25,0.24985968192652974,24.985968192652976,8.457746901058988,33.84998666389865,8.45774690105899
5,5,25,25,0.2622210226272304,26.22210226272304,6.7240771069383705,25.642784241968357,6.724077106938372
5,6,25,25,0.2730178732396614,27.301787323966142,4.625458121710189,16.941960857082258,4.6254581217101896
5,7,25,25,0.2933960842612814,29.339608426128137,5.047460643628212,17.203571943834262,5.047460643628214
5,8,25,25,0.17593299767699647,17.593299767699648,3.8460706669046467,21.860996616256298,3.8460706669046467
5,9,25,25,0.2869439316244084,28.69439316244084,3.1142598946516107,10.853200055570372,3.1142598946516102
5,10,25,25,0.28959239601530573,28.959239601530573,9.395756243967288,32.44476157955023,9.395756243967288
5,11,25,25,0.30190337042445897,30.190337042445897,4.051905628257844,13.4212003746798,4.051905628257844
5,12,25,25,0.3265721879342101,32.65721879342101,12.624860383758797,38.658712683463875,12.624860383758797
5,13,25,25,0.2654745166888861,26.547451668888613,9.65728016096939,36.37742816681315,9.657280160969393
5,14,25,25,0.3697735909838297,36.97735909838297,13.972891717413011,37.787695114289676,13.972891717413011
5,15,25,25,0.37021228792422917,37.02122879242292,13.135866413549712,35.48198382933796,13.13586641354971
5,16,25,25,0.4094005858150645,40.94005858150645,8.682019093136676,21.206660161103287,8.682019093136676
5,17,25,25,0.5236466740171116,52.36466740171116,12.970786079113099,24.770110692404103,12.970786079113102
5,18,25,25,0.6322839561080272,63.22839561080272,13.522644026998469,21.386979530899396,13.52264402699847
5,19,25,25,0.5088208815996296,50.882088159962954,18.617545652642995,36.58632757725429,18.615887452351366
5,20,25,25,0.5467333037935451,54.67333037935451,16.696066302077984,30.534829296022583,16.694408101786355
5,21,25,25,0.5880320738456905,58.80320738456904,25.492926780661556,43.352952865206014,25.49292678066156
5,22,25,25,0.2749983952932911,27.499839529329112,7.676573056151022,27.91497400544396,7.676573056151024
5,23,25,25,0.43097819831130735,43.097819831130735,13.431300625370064,31.158656176297086,13.428701500662006
5,24,25,25,0.533170917897157,53.3170917897157,10.879477644027789,20.40523456706302,10.879477644027787
5,25,25,25,0.5011436589395071,50.114365893950705,9.95021339431131,19.855012064539363,9.950213394311312
5,26,25,25,0.5107729747170974,51.077297471709734,17.00990176505558,33.30227440963745,17.009901765055588
5,27,25,25,0.4609276536548153,46.09276536548153,14.385396640064311,31.209662787638706,14.385396640064311
5,28,25,25,0.4959856802302588,49.59856802302588,8.790436404863165,17.723165718780933,8.790436404863165
5,29,25,25,0.40515029442752365,40.515029442752365,14.858370780903673,36.67372573898413,14.858370780903673
5,30,25,25,0.38819754665643413,38.819754665643416,14.343056007261062,36.94782754501814,14.343056007261064
5,31,25,25,0.3988376764973303,39.88376764973303,23.15539935503789,58.05720151213669,23.15539935503789
6,1,25,25,0.5406094309800691,54.06094309800691,15.805777994045638,29.236963116591195,15.805777994045632
6,2,25,25,0.585718765568594,58.5718765568594,17.670458817501572,30.16884528250986,17.670458817501576
6,3,25,25,0.48301233583575576,48.30123358357557,12.88438641790744,26.675066995159852,12.884386417907434
6,4,25,25,0.5467126503497792,54.67126503497792,11.820484667976798,21.62101912296013,11.820484667976793
6,5,25,25,0.6880883393588586,68.80883393588586,22.362226457123093,32.49906324231507,22.362226457123096
6,6,25,25,0.4789605888518699,47.89605888518699,9.720252348014819,20.294472184685414,9.72025234801482
6,7,25,25,0.629862996186575,62.986299618657505,17.05020806618365,27.069709078659887,17.050208066183647
6,8,25,25,0.5337745347837832,53.37745347837832,12.985959244230783,24.328547725662908,12.985959244230786
6,9,25,25,0.6885256047827675,68.85256047827674,18.58583898582769,26.993678748797727,18.585838985827692
6,10,25,25,0.479433502610436,47.9433502610436,15.969067714776681,33.30820150829626,15.969067714776681
6,11,25,25,0.7810445930818194,78.10445930818194,17.548809874506773,22.468384046118636,17.548809874506773
6,12,25,25,0.7817634507930497,78.17634507930497,15.35902603378196,19.646641216343895,15.359026033781962
6,13,25,25,0.7516236883690659,75.1623688369066,21.768848670766914,28.962430279443076,21.76884867076692
6,14,25,25,0.7439738084761249,74.3973808476125,22.207720705735063,29.850137804209723,22.20772070573506
6,15,25,25,0.7164836724086835,71.64836724086835,20.999151358155927,29.308625118505105,20.999151358155924
6,16,25,25,0.6838802803692925,68.38802803692926,25.728182296621025,37.620886338070626,25.728182296621025
6,17,25,25,0.7771941812152954,77.71941812152954,23.29287788587105,29.970473851783193,23.292877885871057
6,18,25,25,0.6591129926951694,65.91129926951695,21.847350125228612,33.14659302328866,21.847350125228612
6,19,25,25,0.6763721333235829,67.63721333235829,20.331509686555243,30.05965013172483,20.331509686555243
6,20,25,25,0.5859828479733141,58.59828479733141,13.240855706859854,22.59597828273439,13.240855706859854
6,21,25,25,0.631837860104938,63.183786010493804,18.959113162221154,30.00629490463322,18.959113162221158
6,22,25,25,0.513416033364883,51.3416033364883,15.738491238695396,30.65445996212218,15.738491238695389
6,23,25,25,0.611699617870576,61.1699617870576,18.83190364245216,30.786194877820957,18.831903642452165
